@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  1.77839692800000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7312e-19  0.0000e+00  0.0000e+00    0
  1.82993712000000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6423e-19  0.0000e+00  0.0000e+00    0
  1.88147731200000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5598e-19  0.0000e+00  0.0000e+00    0
  1.93301750400000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4833e-19  0.0000e+00  0.0000e+00    0
  1.98455769600000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4122e-19  0.0000e+00  0.0000e+00    0
  2.03609788800000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3459e-19  0.0000e+00  0.0000e+00    0
  2.08763808000000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2841e-19  0.0000e+00  0.0000e+00    0
  2.13917827200000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2264e-19  0.0000e+00  0.0000e+00    0
  2.19071846400000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1724e-19  0.0000e+00  0.0000e+00    0
  2.24225865600000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1219e-19  0.0000e+00  0.0000e+00    0
  2.29379884800000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0745e-19  0.0000e+00  0.0000e+00    0
  2.34533904000000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0300e-19  0.0000e+00  0.0000e+00    0
  2.39687923200000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.8812e-20  0.0000e+00  0.0000e+00    0
  2.44841942400000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.4873e-20  0.0000e+00  0.0000e+00    0
  2.49995961600000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.1163e-20  0.0000e+00  0.0000e+00    0
  2.55149980800000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.7663e-20  0.0000e+00  0.0000e+00    0
  2.60304000000000000000e+17  3.14159265358979311600e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.4358e-20  0.0000e+00  0.0000e+00    0
  0.00000000000000000000e+00  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  2.60304000000000000000e+15  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.1878e-18  0.0000e+00  0.0000e+00    0
  7.75705920000000000000e+15  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.1457e-18  0.0000e+00  0.0000e+00    0
  1.29110784000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.0662e-18  0.0000e+00  0.0000e+00    0
  1.80650976000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.9576e-18  0.0000e+00  0.0000e+00    0
  2.32191168000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.8294e-18  0.0000e+00  0.0000e+00    0
  2.83731360000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.6910e-18  0.0000e+00  0.0000e+00    0
  3.35271552000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.5503e-18  0.0000e+00  0.0000e+00    0
  3.86811744000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.4132e-18  0.0000e+00  0.0000e+00    0
  4.38351936000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.2834e-18  0.0000e+00  0.0000e+00    0
  4.89892128000000000000e+16  3.14159265358979311600e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.1633e-18  0.0000e+00  0.0000e+00    0
