@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.013 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.015 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.018 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.021 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.026 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.029 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.036 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.041 0.0000e+00 0.0000e+00 
  0.044 0.0000e+00 0.0000e+00 
  0.047 0.0000e+00 0.0000e+00 
  0.050 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.058 0.0000e+00 0.0000e+00 
  0.062 0.0000e+00 0.0000e+00 
  0.066 0.0000e+00 0.0000e+00 
  0.071 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.081 0.0000e+00 0.0000e+00 
  0.087 0.0000e+00 0.0000e+00 
  0.093 0.0000e+00 0.0000e+00 
  0.099 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.114 0.0000e+00 0.0000e+00 
  0.122 0.0000e+00 0.0000e+00 
